identifiant_commande;identifiant_client;identifiant_produit;quantite;prix_unitaire;date
OR000188;CL000039;PR000013;32;3.75;2020-12-28
OR000189;CL000055;PR000014;46;31.17;2020-12-28
OR000190;CL000005;PR000001;14;2.31;2020-12-28
OR000191;CL000030;PR000028;40;2.53;2020-12-29
OR000192;CL000007;PR000007;39;24.02;2020-12-29
OR000193;CL000011;PR000001;46;2.41;2020-12-29
OR000194;CL000053;PR000021;8;34.3;2020-12-29
OR000195;CL000024;PR000010;6;20.86;2020-12-29
OR000196;CL000013;PR000019;9;22.5;2020-12-29
OR000197;CL000003;PR000001;13;2.31;2020-12-29
OR000198;CL000070;PR000004;28;9.39;2020-12-29
OR000199;CL000050;PR000017;34;24.92;2020-12-29
OR000200;CL000010;PR000006;32;23.77;2020-12-29
OR000201;CL000005;PR000001;2;2.31;2020-12-30
OR000202;CL000005;PR000004;48;9.03;2020-12-30
OR000203;CL000068;PR000028;47;2.58;2020-12-30
OR000204;CL000016;PR000001;8;2.31;2020-12-30
OR000205;CL000049;PR000017;43;25.42;2020-12-30
OR000206;CL000055;PR000009;21;14.26;2020-12-30
OR000207;CL000071;PR000006;43;23.77;2020-12-30
OR000208;CL000016;PR000016;43;6.38;2020-12-31
OR000209;CL000045;PR000028;45;2.53;2020-12-31
OR000210;CL000005;PR000010;40;20.86;2020-12-31
OR000211;CL000072;PR000020;49;14.79;2020-12-31
OR000212;CL000026;PR000009;50;14.26;2020-12-31
OR000213;CL000073;PR000001;41;2.46;2021-01-01
OR000214;CL000024;PR000015;23;15.99;2021-01-01
OR000215;CL000003;PR000013;23;3.61;2021-01-01
OR000216;CL000016;PR000016;42;6.38;2021-01-01
OR000217;CL000008;PR000021;18;33.63;2021-01-01
OR000218;CL000023;PR000009;18;14.84;2021-01-01
OR000219;CL000071;PR000028;8;2.53;2021-01-01
OR000220;CL000062;PR000002;27;14.2;2021-01-02
OR000221;CL000016;PR000031;18;10.08;2021-01-02
OR000222;CL000019;PR000001;11;2.36;2021-01-02
OR000223;CL000056;PR000024;10;;2021-01-02
OR000224;CL000016;PR000017;19;24.43;2021-01-02
OR000225;CL000057;PR000009;23;15.14;2021-01-02
OR000226;CL000033;PR000012;3;15.28;2021-01-02
OR000227;CL000016;PR000006;32;21.52;2021-01-02
OR000228;CL000039;PR000002;37;14.2;2021-01-02
OR000229;CL000008;PR000023;31;11.89;2021-01-02
OR000230;CL000010;PR000013;34;3.61;2021-01-02
OR000231;CL000040;PR000001;19;2.41;2021-01-02
OR000232;CL000003;PR000002;20;13.92;2021-01-03
OR000233;CL000003;PR000001;17;2.31;2021-01-03
OR000234;CL000027;PR000016;39;6.64;2021-01-03
OR000235;CL000044;PR000023;9;12.62;2021-01-03
OR000236;CL000055;PR000001;28;2.31;2021-01-03
OR000237;CL000013;PR000016;39;6.38;2021-01-03
OR000238;CL000071;PR000023;10;12.37;2021-01-03
OR000239;CL000005;PR000013;23;3.54;2021-01-03
OR000240;CL000016;PR000010;6;20.86;2021-01-04
OR000241;CL000074;PR000004;1;9.77;2021-01-04
OR000242;CL000045;PR000002;21;14.2;2021-01-04
OR000243;CL000008;PR000015;45;15.99;2021-01-04
OR000244;CL000001;PR000009;22;14.84;2021-01-04
OR000245;CL000013;PR000015;50;15.99;2021-01-04
OR000246;CL000027;PR000028;10;2.53;2021-01-04
OR000247;CL000005;PR000014;37;30.56;2021-01-04
OR000248;CL000058;PR000017;17;25.42;2021-01-04
OR000249;CL000005;PR000028;50;2.48;2021-01-05
OR000250;CL000066;PR000027;9;31.83;2021-01-05
OR000251;CL000005;PR000001;7;;2021-01-05
OR000252;CL000005;PR000013;37;;2021-01-05
OR000253;CL000054;PR000007;27;24.02;2021-01-05
OR000254;CL000016;PR000015;42;15.99;2021-01-05
OR000255;CL000005;PR000029;26;26.85;2021-01-05
OR000256;CL000026;PR000001;44;2.31;2021-01-05
OR000257;CL000004;PR000031;17;10.08;2021-01-05
OR000258;CL000026;PR000031;50;10.08;2021-01-05
OR000259;CL000022;PR000028;34;2.58;2021-01-05
OR000260;CL000050;PR000020;28;14.79;2021-01-06
OR000261;CL000016;PR000001;41;2.31;2021-01-06
OR000262;CL000002;PR000030;47;12.1;2021-01-06
OR000263;CL000010;PR000006;13;23.77;2021-01-06
OR000264;CL000008;PR000017;12;24.43;2021-01-07
OR000265;CL000062;PR000008;21;28.62;2021-01-07
OR000266;CL000005;PR000013;23;3.47;2021-01-07
OR000267;CL000008;PR000012;29;14.98;2021-01-07
OR000268;CL000044;PR000027;26;31.83;2021-01-07
OR000269;CL000008;PR000004;45;9.21;2021-01-08
OR000270;CL000068;PR000027;7;32.47;2021-01-08
OR000271;CL000075;PR000009;23;15.14;2021-01-08
OR000272;CL000010;PR000003;29;26.28;2021-01-08
OR000273;CL000003;PR000006;3;22.84;2021-01-08
OR000274;CL000050;PR000008;22;28.62;2021-01-08
OR000275;CL000063;PR000013;34;3.61;2021-01-08
OR000276;CL000035;PR000006;43;25.22;2021-01-09
OR000277;CL000003;PR000001;37;2.31;2021-01-09
OR000278;CL000053;PR000013;18;4.07;2021-01-09
OR000279;CL000042;PR000017;22;25.42;2021-01-09
OR000280;CL000005;PR000017;42;24.43;2021-01-09
OR000281;CL000034;PR000009;37;15.14;2021-01-09
OR000282;CL000050;PR000013;6;3.61;2021-01-09
OR000283;CL000031;PR000006;23;25.22;2021-01-10
OR000284;CL000076;PR000009;26;15.14;2021-01-10
OR000285;CL000016;PR000027;5;31.83;2021-01-10
OR000286;CL000077;PR000016;47;6.77;2021-01-10
OR000287;CL000008;PR000006;15;21.52;2021-01-10
OR000288;CL000004;PR000004;6;9.21;2021-01-10
OR000289;CL000008;PR000016;10;6.38;2021-01-10
OR000290;CL000045;PR000016;3;6.64;2021-01-10
OR000291;CL000067;PR000010;23;21.28;2021-01-10
OR000292;CL000069;PR000030;28;12.1;2021-01-11
OR000293;CL000033;PR000004;49;9.77;2021-01-11
OR000294;CL000016;PR000006;41;21.52;2021-01-11
OR000295;CL000035;PR000016;5;6.77;2021-01-11
OR000296;CL000041;PR000013;43;3.83;2021-01-11
OR000297;CL000004;PR000006;10;23.3;2021-01-11
OR000298;CL000010;PR000012;22;15.28;2021-01-12
OR000299;CL000005;PR000013;46;3.54;2021-01-12
OR000300;CL000008;PR000021;14;33.63;2021-01-12
OR000301;CL000002;PR000004;5;9.21;2021-01-12
OR000302;CL000003;PR000012;13;14.98;2021-01-12
OR000303;CL000046;PR000003;30;27.9;2021-01-12
OR000304;CL000078;PR000013;42;3.83;2021-01-12
OR000305;CL000071;PR000016;18;6.51;2021-01-12
OR000306;CL000023;PR000008;8;28.62;2021-01-13
OR000307;CL000011;PR000003;24;27.35;2021-01-13
OR000308;CL000005;PR000001;33;2.26;2021-01-13
OR000309;CL000050;PR000008;23;28.62;2021-01-13
OR000310;CL000079;PR000019;22;23.41;2021-01-13
OR000311;CL000016;PR000014;16;31.17;2021-01-13
OR000312;CL000054;PR000009;22;15.14;2021-01-13
OR000313;CL000059;PR000018;10;8.29;2021-01-13
OR000314;CL000016;PR000003;13;26.28;2021-01-13
OR000315;CL000003;PR000028;41;2.53;2021-01-13
OR000316;CL000040;PR000019;38;22.95;2021-01-14
OR000317;CL000005;PR000013;18;3.47;2021-01-14
OR000318;CL000071;PR000031;27;10.28;2021-01-14
OR000319;CL000042;PR000019;8;22.5;2021-01-14
OR000320;CL000032;PR000028;49;2.53;2021-01-14
OR000321;CL000056;PR000027;15;31.83;2021-01-14
OR000322;CL000005;PR000001;8;2.31;2021-01-14
OR000323;CL000005;PR000006;35;20.69;2021-01-14
OR000324;CL000071;PR000028;22;2.53;2021-01-15
OR000325;CL000024;PR000016;34;6.38;2021-01-15
OR000326;CL000010;PR000007;10;24.02;2021-01-15
OR000327;CL000027;PR000009;21;14.84;2021-01-15
OR000328;CL000038;PR000021;10;33.63;2021-01-15
OR000329;CL000007;PR000006;19;24.25;2021-01-15
OR000330;CL000005;PR000024;37;11.81;2021-01-15
OR000331;CL000038;PR000026;26;11.15;2021-01-15
OR000332;CL000042;PR000026;8;11.15;2021-01-15
OR000333;CL000005;PR000007;47;24.02;2021-01-15
OR000334;CL000016;PR000023;10;11.89;2021-01-15
OR000335;CL000042;PR000006;4;24.25;2021-01-15
OR000336;CL000020;PR000028;5;2.58;2021-01-15
OR000337;CL000026;PR000004;8;9.21;2021-01-16
OR000338;CL000039;PR000027;48;31.83;2021-01-16
OR000339;CL000016;PR000010;11;20.86;2021-01-16
OR000340;CL000080;PR000014;47;34.41;2021-01-16
OR000341;CL000005;PR000004;37;9.03;2021-01-17
OR000342;CL000016;PR000031;1;10.08;2021-01-17
OR000343;CL000081;PR000007;24;24.02;2021-01-17
OR000344;CL000010;PR000006;5;23.77;2021-01-17
OR000345;CL000026;PR000003;2;26.28;2021-01-17
OR000346;CL000005;PR000011;49;33.64;2021-01-17
OR000347;CL000039;PR000017;31;25.42;2021-01-17
OR000348;CL000058;PR000012;37;15.28;2021-01-18
OR000349;CL000008;PR000004;37;9.21;2021-01-18
OR000350;CL000044;PR000006;15;24.25;2021-01-18
OR000351;CL000040;PR000009;11;15.14;2021-01-18
OR000352;CL000005;PR000002;24;13.92;2021-01-19
OR000353;CL000025;PR000003;24;27.35;2021-01-19
OR000354;CL000014;PR000014;30;33.08;2021-01-19
OR000355;CL000005;PR000028;14;2.48;2021-01-19
OR000356;CL000016;PR000028;32;2.53;2021-01-19
OR000357;CL000005;PR000028;13;2.48;2021-01-19
OR000358;CL000052;PR000027;25;31.83;2021-01-20
OR000359;CL000047;PR000025;28;26.41;2021-01-20
OR000360;CL000024;PR000031;8;10.08;2021-01-20
OR000361;CL000082;PR000014;28;34.41;2021-01-20
OR000362;CL000059;PR000020;12;14.79;2021-01-20
OR000363;CL000083;PR000019;19;23.41;2021-01-20
OR000364;CL000008;PR000007;33;24.02;2021-01-20
OR000365;CL000026;PR000006;34;21.95;2021-01-20
OR000366;CL000005;PR000017;25;24.43;2021-01-20
OR000367;CL000024;PR000013;49;3.61;2021-01-21
OR000368;CL000026;PR000004;38;9.21;2021-01-21
OR000369;CL000004;PR000029;45;26.85;2021-01-21
OR000370;CL000059;PR000030;11;12.1;2021-01-21
OR000371;CL000016;PR000001;33;2.31;2021-01-21
OR000372;CL000035;PR000028;17;2.58;2021-01-21
OR000373;CL000019;PR000028;3;2.53;2021-01-21
OR000374;CL000070;PR000024;36;12.29;2021-01-21
OR000375;CL000080;PR000004;13;9.58;2021-01-22
OR000376;CL000015;PR000011;19;33.64;2021-01-22
OR000377;CL000084;PR000028;39;2.58;2021-01-22
OR000378;CL000005;PR000028;47;2.53;2021-01-22
OR000379;CL000026;PR000027;7;31.83;2021-01-22
OR000380;CL000069;PR000009;47;15.14;2021-01-22
OR000381;CL000063;PR000008;12;28.62;2021-01-22
OR000382;CL000027;PR000018;34;8.29;2021-01-22
OR000383;CL000018;PR000017;4;25.42;2021-01-22
OR000384;CL000005;PR000004;28;9.03;2021-01-22
OR000385;CL000010;PR000028;40;2.53;2021-01-22
OR000386;CL000067;PR000031;47;10.28;2021-01-22
OR000387;CL000030;PR000001;46;2.41;2021-01-22
OR000388;CL000005;PR000028;33;2.53;2021-01-23
OR000389;CL000015;PR000030;23;12.1;2021-01-23
OR000390;CL000005;PR000008;15;26.97;2021-01-23
OR000391;CL000024;PR000020;22;14.79;2021-01-23
OR000392;CL000041;PR000013;15;3.83;2021-01-23
OR000393;CL000085;PR000015;22;18.01;2021-01-23
OR000394;CL000018;PR000013;27;3.75;2021-01-23
OR000395;CL000044;PR000015;17;16.64;2021-01-23
OR000396;CL000003;PR000027;7;31.83;2021-01-24
OR000397;CL000050;PR000009;29;14.84;2021-01-24
OR000398;CL000008;PR000001;41;2.31;2021-01-24
OR000399;CL000021;PR000009;20;15.14;2021-01-24
OR000400;CL000016;PR000003;2;26.28;2021-01-24
OR000401;CL000086;PR000006;12;;2021-01-25
OR000402;CL000005;PR000017;25;24.43;2021-01-25
OR000403;CL000016;PR000028;23;2.53;2021-01-25
OR000404;CL000011;PR000001;10;2.41;2021-01-25
OR000405;CL000005;PR000004;11;9.03;2021-01-25
OR000406;CL000024;PR000019;1;22.5;2021-01-25
OR000407;CL000087;PR000001;5;2.51;2021-01-25
OR000408;CL000055;PR000007;9;24.02;2021-01-25
OR000409;CL000016;PR000028;24;2.53;2021-01-25
OR000410;CL000005;PR000015;41;15.99;2021-01-26
OR000411;CL000024;PR000004;24;9.21;2021-01-26
OR000412;CL000044;PR000010;23;21.28;2021-01-26
OR000413;CL000002;PR000004;5;9.39;2021-01-26
OR000414;CL000055;PR000028;40;2.53;2021-01-26
OR000415;CL000003;PR000014;2;31.17;2021-01-26
OR000416;CL000001;PR000002;26;13.92;2021-01-26
OR000417;CL000017;PR000011;32;33.64;2021-01-26
OR000418;CL000088;PR000008;19;28.62;2021-01-26
OR000419;CL000044;PR000004;49;9.39;2021-01-26
OR000420;CL000026;PR000006;43;21.95;2021-01-27
OR000421;CL000007;PR000031;45;10.28;2021-01-27
OR000422;CL000054;PR000004;40;9.39;2021-01-27
OR000423;CL000089;PR000001;33;2.51;2021-01-27
OR000424;CL000004;PR000012;12;15.28;2021-01-27
OR000425;CL000005;PR000014;21;30.56;2021-01-27
OR000426;CL000054;PR000017;42;25.42;2021-01-27
OR000427;CL000037;PR000013;48;4.07;2021-01-27
OR000428;CL000005;PR000008;19;28.06;2021-01-27
OR000429;CL000033;PR000006;27;25.72;2021-01-28
OR000430;CL000054;PR000031;9;10.28;2021-01-28
OR000431;CL000061;PR000013;46;4.07;2021-01-28
OR000432;CL000027;PR000015;41;16.64;2021-01-28
OR000433;CL000055;PR000007;38;24.02;2021-01-28
OR000434;CL000030;PR000027;21;31.83;2021-01-28
OR000435;CL000055;PR000028;1;2.53;2021-01-28
OR000436;CL000005;PR000020;46;14.22;2021-01-28
OR000437;CL000043;PR000025;19;26.41;2021-01-29
OR000438;CL000008;PR000017;6;24.43;2021-01-29
OR000439;CL000066;PR000024;5;12.05;2021-01-29
OR000440;CL000008;PR000018;9;7.81;2021-01-29
OR000441;CL000008;PR000030;6;12.1;2021-01-29
OR000442;CL000003;PR000019;28;22.5;2021-01-29
OR000443;CL000029;PR000002;45;13.92;2021-01-29
OR000444;CL000003;PR000028;32;2.53;2021-01-29
OR000445;CL000056;PR000016;38;6.51;2021-01-29
OR000446;CL000006;PR000018;47;8.13;2021-01-29
OR000447;CL000037;PR000007;12;24.02;2021-01-29
OR000448;CL000005;PR000016;22;6.38;2021-01-30
OR000449;CL000026;PR000015;23;15.99;2021-01-30
OR000450;CL000051;PR000004;37;9.39;2021-01-30
OR000451;CL000071;PR000008;40;28.62;2021-01-30
OR000452;CL000050;PR000030;43;12.1;2021-01-30
OR000453;CL000036;PR000008;28;28.62;2021-01-30
OR000454;CL000014;PR000016;39;6.64;2021-01-30
OR000455;CL000016;PR000001;50;2.31;2021-01-30
OR000456;CL000050;PR000019;30;22.5;2021-01-31
OR000457;CL000075;PR000008;41;28.62;2021-01-31
OR000458;CL000055;PR000015;36;15.99;2021-01-31
OR000459;CL000026;PR000003;32;26.28;2021-01-31
OR000460;CL000016;PR000010;23;20.86;2021-01-31
OR000461;CL000029;PR000027;8;31.83;2021-01-31
OR000462;CL000003;PR000031;30;10.08;2021-01-31
OR000463;CL000001;PR000008;8;28.62;2021-01-31
OR000464;CL000005;PR000002;10;13.92;2021-01-31
OR000465;CL000008;PR000014;23;31.17;2021-01-31
OR000466;CL000005;PR000023;40;11.89;2021-02-01
OR000467;CL000053;PR000008;40;28.62;2021-02-01
OR000468;CL000016;PR000002;6;13.92;2021-02-01
OR000469;CL000071;PR000016;49;6.51;2021-02-01
OR000470;CL000059;PR000003;46;27.35;2021-02-01
OR000471;CL000019;PR000014;42;31.79;2021-02-01
OR000472;CL000089;PR000009;34;15.14;2021-02-01
OR000473;CL000033;PR000013;43;4.07;2021-02-01
OR000474;CL000066;PR000024;8;12.05;2021-02-02
OR000475;CL000001;PR000015;31;15.99;2021-02-02
OR000476;CL000005;PR000029;15;26.85;2021-02-02
OR000477;CL000075;PR000005;23;10.62;2021-02-02
OR000478;CL000029;PR000016;44;6.64;2021-02-02
OR000479;CL000027;PR000025;15;26.41;2021-02-02
OR000480;CL000076;PR000004;26;9.58;2021-02-02
OR000481;CL000008;PR000028;29;2.53;2021-02-02
OR000482;CL000016;PR000012;9;14.98;2021-02-03
OR000483;CL000050;PR000009;17;14.84;2021-02-03
OR000484;CL000008;PR000001;9;2.31;2021-02-03
OR000485;CL000026;PR000020;1;14.79;2021-02-03
OR000486;CL000026;PR000004;31;9.21;2021-02-03
OR000487;CL000008;PR000030;5;12.1;2021-02-03
OR000488;CL000035;PR000025;14;26.41;2021-02-03
OR000489;CL000088;PR000016;13;6.64;2021-02-03
OR000490;CL000018;PR000028;46;2.53;2021-02-03
OR000491;CL000090;PR000008;24;28.62;2021-02-03
OR000492;CL000042;PR000028;7;2.53;2021-02-04
OR000493;CL000026;PR000011;31;33.64;2021-02-04
OR000494;CL000055;PR000011;14;33.64;2021-02-04
OR000495;CL000039;PR000020;19;14.79;2021-02-04
OR000496;CL000003;PR000027;28;31.83;2021-02-04
OR000497;CL000051;PR000009;5;15.14;2021-02-04
